,Ind,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Asset Volume,Ignore
2021-04-16 19:35:21.655437920,2861,1618617600000.0,0.039494,0.040172,0.039494,0.03986,46112.778,1618631999999.0,1842.19803953,66186.0,20125.464,803.91110246,0.0
2021-04-16 23:35:27.430221368,2862,1618632000000.0,0.03986,0.039984,0.039501,0.039636,30026.379,1618646399999.0,1195.01789997,48301.0,14498.894,577.05744843,0.0
2021-04-17 03:35:33.205004816,2863,1618646400000.0,0.039636,0.039735,0.039299,0.039568,34656.235,1618660799999.0,1368.78391637,58058.0,16906.992,667.84443053,0.0
2021-04-17 07:35:38.979788256,2864,1618660800000.0,0.039569,0.03966,0.038725,0.038908,47034.598,1618675199999.0,1850.2157291,67715.0,22885.812,900.46883776,0.0
2021-04-17 11:35:44.754571704,2865,1618675200000.0,0.03891,0.03935,0.038559,0.039175,42506.307,1618689599999.0,1659.02496714,58175.0,21072.528,822.6417366,0.0
2021-04-17 15:35:50.529355152,2866,1618689600000.0,0.039176,0.039391,0.038576,0.038619,24708.334,1618703999999.0,967.69824742,55300.0,11945.113,467.95621973,0.0
2021-04-17 19:35:56.304138592,2867,1618704000000.0,0.038619,0.039744,0.03705,0.039314,87430.163,1618718399999.0,3355.99437134,144474.0,42507.196,1632.65213757,0.0
2021-04-17 23:36:02.078922040,2868,1618718400000.0,0.039314,0.039529,0.038725,0.039341,65738.136,1618732799999.0,2579.29918195,111599.0,32405.818,1271.48981228,0.0
2021-04-18 03:36:07.853705488,2869,1618732800000.0,0.039341,0.039417,0.038314,0.038509,60499.285,1618747199999.0,2342.89549529,98067.0,30837.196,1194.21995835,0.0
2021-04-18 07:36:13.628488936,2870,1618747200000.0,0.038508,0.03883,0.038113,0.038668,49048.387,1618761599999.0,1887.74389337,86052.0,24564.854,945.39939705,0.0
2021-04-18 11:36:19.403272376,2871,1618761600000.0,0.038668,0.039356,0.038571,0.039273,38193.772,1618775999999.0,1491.03353001,67810.0,18942.361,739.39934754,0.0
2021-04-18 15:36:25.178055824,2872,1618776000000.0,0.039273,0.03989,0.039187,0.039816,37161.843,1618790399999.0,1470.39997658,72298.0,18916.454,748.44017593,0.0
2021-04-18 19:36:30.952839272,2873,1618790400000.0,0.039816,0.04,0.039304,0.039736,37641.345,1618804799999.0,1492.09186729,60284.0,19916.665,789.63695183,0.0
2021-04-18 23:36:36.727622712,2874,1618804800000.0,0.039737,0.039812,0.039417,0.039573,28386.944,1618819199999.0,1124.38466341,49953.0,13997.069,554.43884523,0.0
2021-04-19 03:36:42.502406160,2875,1618819200000.0,0.039576,0.039608,0.039114,0.039343,35477.357,1618833599999.0,1396.08293151,58559.0,16072.557,632.4941506,0.0
2021-04-19 07:36:48.277189608,2876,1618833600000.0,0.039343,0.039453,0.03835,0.038382,46314.895,1618847999999.0,1801.00871886,74523.0,21171.003,823.63772589,0.0
2021-04-19 11:36:54.051973048,2877,1618848000000.0,0.038382,0.0391,0.038298,0.0391,30328.822,1618862399999.0,1172.91409581,38850.0,17793.053,688.21395619,0.0
2021-04-19 15:36:59.826756496,2878,1618862400000.0,0.0391,0.03935,0.038732,0.038844,20495.574,1618876799999.0,800.98073882,37073.0,10956.429,428.40632797,0.0
2021-04-19 19:37:05.601539944,2879,1618876800000.0,0.038848,0.039,0.038013,0.038304,33312.766,1618883999999.0,1281.06546313,46660.0,15652.173,602.32602117,0.0
2021-04-19 23:37:11.376323392,2880,1618891200000.0,0.038301,0.038832,0.038301,0.038458,35084.223,1618905599999.0,1353.31837646,59053.0,16960.645,654.20555143,0.0
2021-04-20 03:37:17.151106832,2881,1618905600000.0,0.038463,0.039242,0.038438,0.039009,41597.652,1618919999999.0,1620.39991404,63578.0,21135.604,823.29527705,0.0
2021-04-20 07:37:22.925890280,2882,1618920000000.0,0.03901,0.039536,0.038667,0.039526,52216.598,1618934399999.0,2048.2601651,68181.0,24760.717,971.27062961,0.0
2021-04-20 11:37:28.700673728,2883,1618934400000.0,0.039526,0.041092,0.039419,0.041091,84660.974,1618948799999.0,3424.91066654,100659.0,43251.286,1748.65178208,0.0
2021-04-20 15:37:34.475457168,2884,1618948800000.0,0.041092,0.04144,0.040456,0.041299,52373.101,1618963199999.0,2147.29458803,79409.0,24857.671,1019.24484363,0.0
2021-04-20 19:37:40.250240616,2885,1618963200000.0,0.041301,0.041739,0.040997,0.041379,69539.729,1618977599999.0,2880.87467629,71323.0,30689.808,1271.44534513,0.0
